2024-06-27 00:06:593 INFO  BuyPage :40 - select make[[ChromeDriver: chrome on windows (34b67561fe3a5636e9821cee1c923168)] -> xpath: //select[@id='make']]
2024-06-27 00:06:818 INFO  BuyPage :49 - select model[[ChromeDriver: chrome on windows (34b67561fe3a5636e9821cee1c923168)] -> xpath: //select[@id='model']]
2024-06-27 00:06:623 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 00:06:179 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (f381db2337ce8a6b0e510f1efd85ceff)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 00:06:205 INFO  BuyPage :105 - click on used car tab[[ChromeDriver: chrome on windows (f381db2337ce8a6b0e510f1efd85ceff)] -> xpath: //header/div[@id='u_H']/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]/ul[1]/li[2]/a[1]]
2024-06-27 00:06:200 INFO  BuyPage :40 - select make[[ChromeDriver: chrome on windows (f381db2337ce8a6b0e510f1efd85ceff)] -> xpath: //select[@id='make']]
2024-06-27 00:06:456 INFO  BuyPage :49 - select model[[ChromeDriver: chrome on windows (f381db2337ce8a6b0e510f1efd85ceff)] -> xpath: //select[@id='model']]
2024-06-27 00:06:653 INFO  BuyPage :58 - select state[[ChromeDriver: chrome on windows (f381db2337ce8a6b0e510f1efd85ceff)] -> xpath: //select[@id='state']]
2024-06-27 00:06:873 INFO  BuyPage :69 - enter price[[ChromeDriver: chrome on windows (f381db2337ce8a6b0e510f1efd85ceff)] -> xpath: //select[@id='priceTo']]
2024-06-27 00:06:541 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 00:06:611 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 00:06:366 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (e8fe9123b7f01cd563298b2a4f7fda55)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 00:06:617 INFO  BuyPage :105 - click on used car tab[[ChromeDriver: chrome on windows (e8fe9123b7f01cd563298b2a4f7fda55)] -> xpath: //header/div[@id='u_H']/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]/ul[1]/li[2]/a[1]]
2024-06-27 00:06:408 INFO  BuyPage :40 - select make[[ChromeDriver: chrome on windows (e8fe9123b7f01cd563298b2a4f7fda55)] -> xpath: //select[@id='make']]
2024-06-27 00:06:630 INFO  BuyPage :49 - select model[[ChromeDriver: chrome on windows (e8fe9123b7f01cd563298b2a4f7fda55)] -> xpath: //select[@id='model']]
2024-06-27 00:06:844 INFO  BuyPage :58 - select state[[ChromeDriver: chrome on windows (e8fe9123b7f01cd563298b2a4f7fda55)] -> xpath: //select[@id='state']]
2024-06-27 00:06:80 INFO  BuyPage :69 - enter price[[ChromeDriver: chrome on windows (e8fe9123b7f01cd563298b2a4f7fda55)] -> xpath: //select[@id='priceTo']]
2024-06-27 00:06:757 INFO  BuyPage :114 - click on show[[ChromeDriver: chrome on windows (e8fe9123b7f01cd563298b2a4f7fda55)] -> xpath: //button[contains(text(),'Show used vehicles')]]
2024-06-27 00:06:115 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 09:06:544 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 09:06:185 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (dad74f3571f028e2428a12ccc640e902)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 09:06:374 INFO  BuyPage :19 - click on dealer[[ChromeDriver: chrome on windows (dad74f3571f028e2428a12ccc640e902)] -> xpath: //a[normalize-space()='Find a Dealer']]
2024-06-27 09:06:704 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 09:06:951 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (c1ddfe8ddad533eb65c879d453a8dab1)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 09:06:286 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 09:06:176 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (388960e539da052cf7398adacf5838f6)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 09:06:638 INFO  BuyPage :19 - click on dealer[[ChromeDriver: chrome on windows (388960e539da052cf7398adacf5838f6)] -> xpath: //a[normalize-space()='Find a Dealer']]
2024-06-27 09:06:462 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 09:06:288 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (de95afd645b278c6413ab31f018e1ddf)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 09:06:592 INFO  BuyPage :19 - click on dealer[[ChromeDriver: chrome on windows (de95afd645b278c6413ab31f018e1ddf)] -> xpath: //a[normalize-space()='Find a Dealer']]
2024-06-27 09:06:854 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 09:06:777 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (7795fbdac65f2f2f4a02e44ee9a50b35)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 09:06:482 INFO  BuyPage :19 - click on dealer[[ChromeDriver: chrome on windows (7795fbdac65f2f2f4a02e44ee9a50b35)] -> xpath: //a[normalize-space()='Find a Dealer']]
2024-06-27 09:06:901 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 09:06:274 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (cb4292b2315939ddc258898d60158114)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 09:06:468 INFO  BuyPage :19 - click on dealer[[ChromeDriver: chrome on windows (cb4292b2315939ddc258898d60158114)] -> xpath: //a[normalize-space()='Find a Dealer']]
2024-06-27 09:06:499 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 09:06:113 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (7243ff4020aaba746a08e21a62f66590)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 09:06:503 INFO  BuyPage :19 - click on dealer[[ChromeDriver: chrome on windows (7243ff4020aaba746a08e21a62f66590)] -> xpath: //a[normalize-space()='Find a Dealer']]
2024-06-27 09:06:542 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 09:06:300 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (43d792f0ca996ce737d4e325533b4ef9)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 09:06:953 INFO  BuyPage :19 - click on dealer[[ChromeDriver: chrome on windows (43d792f0ca996ce737d4e325533b4ef9)] -> xpath: //a[normalize-space()='Find a Dealer']]
2024-06-27 09:06:915 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 09:06:390 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (d8e6ec0e39d50f08709cb69cd1606689)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 10:06:853 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 10:06:600 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (c94adc46085eb0631cf82ef71dc2216e)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 10:06:164 INFO  BuyPage :19 - click on dealer[[ChromeDriver: chrome on windows (c94adc46085eb0631cf82ef71dc2216e)] -> xpath: //a[normalize-space()='Find a Dealer']]
2024-06-27 10:06:10 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 10:06:685 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (aa7bed400345594a2aecba40a37c5435)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 10:06:590 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 10:06:605 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (def16a50de1354538b0fcc54e4e3c690)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 10:06:699 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 10:06:50 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (224f41bfe51fc4fb15742645fb4d4392)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 10:06:649 INFO  BuyPage :19 - click on dealer[[ChromeDriver: chrome on windows (224f41bfe51fc4fb15742645fb4d4392)] -> xpath: //a[normalize-space()='Find a Dealer']]
2024-06-27 16:06:04 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 16:06:508 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (083fa7b34734343b3c9d87046ed7573c)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 16:06:920 INFO  BuyPage :21 - click on dealer[[ChromeDriver: chrome on windows (083fa7b34734343b3c9d87046ed7573c)] -> xpath: //a[normalize-space()='Find a Dealer']]
2024-06-27 21:06:270 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 21:06:02 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (2aa68000933691016f32969da7ce08fb)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 21:06:301 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-27 21:06:149 INFO  BuyPage :20 - click on buy and sell tab[[ChromeDriver: chrome on windows (9e2155247060f3ec6b8686871e413f14)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-27 21:06:409 INFO  BuyPage :21 - click on dealer[[ChromeDriver: chrome on windows (9e2155247060f3ec6b8686871e413f14)] -> xpath: //a[normalize-space()='Find a Dealer']]
2024-06-27 21:06:269 INFO  ManageBrowser :32 - Chrome Browser Launch.....
